metric,n,mean,sample_std,ci95_lower,ci95_upper,ci95_half_width,min,max
pressure_negative_P2_IAE_baseline,3,101.45347945838459,0.1892558777197895,100.98334179535277,101.92361712141641,0.470137663031819,101.26554121351339,101.64402600746605
pressure_negative_P2_IAE_change,3,0.22222964189830444,0.4082514845619027,-0.7919232668181156,1.2363825506147246,1.01415290871642,-0.24629133203735876,0.5016049533009124
pressure_negative_P2_ISE,3,59.20060300615324,0.6481992806347373,57.590386728338494,60.81081928396798,1.6102162778147429,58.453369126270445,59.61154894262384
pressure_negative_P2_ISE_baseline,3,59.10110222332373,0.21410582912823756,58.5692338588607,59.63297058778676,0.5318683644630295,58.88855446442413,59.31673282962085
pressure_negative_P2_ISE_change,3,0.09950078282950159,0.46862024061473684,-1.0646164294148597,1.2636179950738629,1.1641172122443613,-0.435185338153687,0.43887157363919727
pressure_negative_P2_settling_time_empirical,3,231.0,0.0,231.0,231.0,0.0,231.0,231.0
pressure_negative_P2_settling_time_empirical_baseline,3,231.0,0.0,231.0,231.0,0.0,231.0,231.0
pressure_negative_P2_settling_time_common,3,233.33333333333334,0.5773502691896258,231.89911575669626,234.76755090997042,1.4342175766370917,233.0,234.0
pressure_negative_P2_settling_time_common_baseline,3,231.0,0.0,231.0,231.0,0.0,231.0,231.0
pressure_negative_P100_min,3,205.67296295689417,0.007863119610462202,205.65342988493708,205.69249602885125,0.019533071957087315,205.66608778357983,205.6815364606001
pressure_negative_P100_max,3,300.52831370055276,0.0,300.52831370055276,300.52831370055276,0.0,300.52831370055276,300.52831370055276
pressure_negative_P100_peak_difference,3,2.1131514411643955,0.6781613106411347,0.4285053546873665,3.7977975276414244,1.684646086477029,1.4250887214307397,2.780957465782876
pressure_negative_P100_TV,3,112.27224980376882,0.07029443848537292,112.09762873819442,112.44687086934321,0.17462106557439572,112.19149136598412,112.31969047625847
pressure_negative_P100_TV_baseline,3,111.8925138552155,0.015086922956974448,111.8550358609424,111.9299918494886,0.037477994273101486,111.8773273599314,111.90749919424289
pressure_negative_P100_TV_change,3,0.3797359485533131,0.08291895436657654,0.17375384698464913,0.5857180501219771,0.20598210156866398,0.28399217174123237,0.42824020913241156
pressure_negative_F200_min,3,175.2812204025538,0.6536798623148581,173.65738960510464,176.90505120000296,1.6238307974491708,174.81001555291044,176.02748108360015
pressure_negative_F200_max,3,199.08690074575665,0.7057205812219228,197.333793635919,200.8400078555943,1.7531071098376707,198.3412734303647,199.74444492283237
pressure_negative_F200_peak_difference,3,1.494042068719864,0.0027743610696085784,1.4871501737605781,1.5009339636791497,0.00689189495928584,1.4919430017471313,1.4971874356269836
pressure_negative_F200_TV,3,37.47836772990519,0.4086348068493128,36.46326259583882,38.493472863971554,1.0151051340663657,37.053825402933995,37.868979199620725
pressure_negative_F200_TV_baseline,3,27.588778499020595,0.030160119772560477,27.513856608099854,27.663700389941337,0.07492189092074192,27.55882379017683,27.619139916243284
pressure_negative_F200_TV_change,3,9.88958923088459,0.39281506137235617,8.913782523149303,10.865395938619878,0.9758067077352881,9.495001612757164,10.280607408979051
concentration_positive_economic_improvement_percent,3,0.10150373590469837,0.005611702358792095,0.08756349444758038,0.11544397736181636,0.013940241457117983,0.09502421078613307,0.10479844427441005
concentration_positive_J_econ,3,1965273.6236628927,106.61869060082176,1965008.7681527839,1965538.4791730016,264.8555101089024,1965210.9164733663,1965396.7291048947
concentration_positive_requested_residual_norm,3,0.3731602573640531,0.08011802052931141,0.17413606116891867,0.5721844535591876,0.19902419619513445,0.28215923822172057,0.43308325284534543
concentration_positive_applied_residual_norm,3,0.018658012868202654,0.004005901026465554,0.008706803058445971,0.028609222677959338,0.009951209809756683,0.014107961911086046,0.021654162642267254
concentration_positive_X2_peak_deviation,3,0.26425136982381875,0.005188788876606881,0.25136170369664423,0.27714103595099326,0.012889666127174532,0.2596016188320256,0.26984861323786546
concentration_positive_X2_peak_deviation_baseline,3,0.23729446996223777,0.0010900542890573037,0.2345866249948335,0.24000231492964205,0.002707844967404279,0.23621182880924607,0.23839178914797543
concentration_positive_X2_peak_deviation_change,3,0.026956899861581007,0.004568997952266625,0.015606879743018602,0.03830691998014341,0.011350020118562405,0.022321826902533815,0.031456824089890034
concentration_positive_X2_IAE,3,12.54661851269197,0.19794133072098316,12.054904988315439,13.0383320370685,0.49171352437653065,12.338391884308919,12.73235304858327
concentration_positive_X2_IAE_baseline,3,13.092854427515121,0.050926476763430414,12.96634604605575,13.219362808974493,0.12650838145937207,13.041659492940664,13.143508132368552
concentration_positive_X2_IAE_change,3,-0.5462359148231523,0.172841820635925,-0.9755987996485873,-0.1168730299977172,0.42936288482543505,-0.7032676086317444,-0.36104260865287685
concentration_positive_X2_ISE,3,1.5729175905345933,0.04782785436506852,1.4541066138297558,1.6917285672394309,0.11881097670483755,1.520978651589117,1.6151432471088558
concentration_positive_X2_ISE_baseline,3,1.7093865159269448,0.014998058153521647,1.672129274063356,1.7466437577905336,0.0372572418635888,1.694310826840376,1.7243057185634427
concentration_positive_X2_ISE_change,3,-0.13646892539235145,0.03972288931401443,-0.2351460527606899,-0.03779179802401299,0.09867712736833846,-0.17333217525125888,-0.09439975526816013
concentration_positive_X2_settling_time_empirical,3,135.66666666666666,42.735621363604075,29.50549799826223,241.8278353350711,106.16116866840443,110.0,185.0
concentration_positive_X2_settling_time_empirical_baseline,3,194.0,0.0,194.0,194.0,0.0,194.0,194.0
concentration_positive_X2_settling_time_common_baseline,3,194.0,0.0,194.0,194.0,0.0,194.0,194.0
concentration_positive_P2_peak_deviation,3,0.3753940354712408,0.0041265142941954895,0.3651432056945675,0.3856448652479141,0.01025082977667332,0.3721191919242983,0.38002890116036525
concentration_positive_P2_peak_deviation_baseline,3,0.38751052106478784,0.001181274481204371,0.38457607257798937,0.3904449695515863,0.0029344484867984424,0.3863374779367703,0.3886998583260066
concentration_positive_P2_peak_deviation_change,3,-0.012116485593547091,0.005266228255512219,-0.025198521802242135,0.0009655506151479507,0.013082036208695042,-0.0165806664017083,-0.0063085767764050615
concentration_positive_P2_IAE,3,48.396030187351265,0.4335524997522536,47.31902607265256,49.47303430204997,1.0770041146987024,48.062454697017166,48.88610312275706
concentration_positive_P2_IAE_baseline,3,49.78972302524676,0.15836023054491122,49.39633440449387,50.183111645999645,0.3933886207528849,49.632463210344426,49.94916119700858
concentration_positive_P2_IAE_change,3,-1.3936928378954836,0.5856263918324367,-2.848469442897426,0.0610837671064588,1.4547766050019424,-1.886706499991412,-0.7463600875873624
concentration_positive_P2_ISE,3,12.796848752371318,0.23813774134793242,12.205281808475625,13.38841569626701,0.5915669438956922,12.611444394043156,13.065415941668132
concentration_positive_P2_ISE_baseline,3,13.56087253339958,0.08520357416805792,13.349215121624832,13.772529945174329,0.2116574117747489,13.476307139484515,13.646700260670618
concentration_positive_P2_ISE_change,3,-0.7640237810282647,0.3201383740615863,-1.559291589042993,0.03124402698646367,0.7952678080147284,-1.0352558666274625,-0.41089119781638317
concentration_positive_P2_settling_time_empirical,3,237.0,0.0,237.0,237.0,0.0,237.0,237.0
concentration_positive_P2_settling_time_empirical_baseline,3,237.0,0.0,237.0,237.0,0.0,237.0,237.0
concentration_positive_P2_settling_time_common,3,250.0,4.58257569495584,238.6162508987816,261.38374910121837,11.383749101218395,245.0,254.0
concentration_positive_P2_settling_time_common_baseline,3,237.0,0.0,237.0,237.0,0.0,237.0,237.0
concentration_positive_P100_min,3,169.93331173681472,0.66250860631125,168.2875491234559,171.57907435017353,1.6457626133588221,169.40739195729572,170.67738901616795
concentration_positive_P100_max,3,300.52831370055276,0.0,300.52831370055276,300.52831370055276,0.0,300.52831370055276,300.52831370055276
concentration_positive_P100_peak_difference,3,2.0135359953522425,0.24455981833494214,1.4060157278247556,2.6210562628797294,0.607520267527487,1.7476463474128536,2.22886119370213
concentration_positive_P100_TV,3,187.55285652036102,3.238208432889972,179.50870083340857,195.59701220731347,8.04415568695244,183.84054000970713,189.79634338086018
concentration_positive_P100_TV_baseline,3,190.38331022127844,0.19764675671216014,189.89232845930616,190.8742919832507,0.4909817619722843,190.1843639775926,190.5796313401647
concentration_positive_P100_TV_change,3,-2.830453700917426,3.0565024060697636,-10.423226594176494,4.762319192341641,7.592772893259068,-6.34382396788547,-0.7832879593045163
concentration_positive_F200_min,3,198.5031220809691,0.6846717965095723,196.80230305102384,200.20394111091434,1.7008190299452406,197.89839195861109,199.24651047290317
concentration_positive_F200_max,3,205.40069934497214,1.4651248531955008,201.76112744458965,209.04027124535463,3.6395719003824856,203.72488977543247,206.43944623297392
concentration_positive_F200_peak_difference,3,1.4868867993354797,0.01565625744494294,1.4479944997901624,1.525779098880797,0.03889229954531727,1.4688853919506073,1.4973298609256744
concentration_positive_F200_TV,3,16.502061111812207,3.840412432726333,6.961947758643115,26.0421744649813,9.540113353169092,12.547527668786813,20.217147326089986
concentration_positive_F200_TV_baseline,3,11.642858809096936,0.03290239891557111,11.561124719140638,11.724592899053233,0.0817340899562972,11.610180906749378,11.675981200860235
concentration_positive_F200_TV_change,3,4.85920230271527,3.8252927424144203,-4.643351657558601,14.361756262989143,9.502553960273872,0.9051133491056191,8.54116612522975
early_post_warmup_mean_improvement,3,0.08816643694011894,0.004220929173361109,0.07768106760155113,0.09865180627868675,0.010485369338567809,0.0844669731655775,0.09276420793231022
late_5_mean_improvement,3,0.10481626717712426,0.011715845844185854,0.07571249268943428,0.13392004166481425,0.029103774487689985,0.09154816559975412,0.11373705237193703
late_10_mean_improvement,3,0.10531507212338781,0.011941463702661408,0.07565083180499327,0.13497931244178235,0.029664240318394534,0.09164607571853511,0.1137203848677232
post_warmup_positive_fraction,3,1.0,0.0,1.0,1.0,0.0,1.0,1.0
