episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,eligible
85.0,1.0,-0.908007379098892,6392.111185270485,-0.00028809111788685726,-4.50167302285359e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
145.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
145.0,0.25,-0.9077610898506158,6392.115464244263,-4.180186961066923e-05,-7.14431552144221e-05,0.0,0.0,0.0,0.0,0.0,0.9676666666666667,1.0,0.0,0.0
145.0,0.5,-0.9078460762546007,6392.120954811016,-0.00012678827359557943,-0.00015733914233079067,0.0,0.0,0.0,0.0,0.0,0.9751666666666666,1.0,0.0,0.0
145.0,0.75,-0.9079462710984387,6392.121605355674,-0.0002269831174336323,-0.0001675164478821022,0.0,0.0,0.0,0.0,0.0,0.9781666666666666,1.0,0.0,0.0
145.0,1.0,-0.9080997315455223,6392.125090558878,-0.0003804435645171633,-0.00022203995756321857,0.0,0.0,0.0,0.0,0.0,0.9793333333333334,1.0,0.0,0.0
140.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140.0,0.25,-0.9077440847543795,6392.11093216523,-2.479677337441366e-05,-5.420224609767249e-07,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
140.0,0.5,-0.9078181169158795,6392.110966984753,-9.882893487445088e-05,-1.0867489712552265e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
140.0,0.75,-0.9079413649092553,6392.111001974357,-0.0002220769282501589,-1.6341362907471674e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
140.0,1.0,-0.9081138586864016,6392.111037131287,-0.00039457070539650196,-2.1841412931913606e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
120.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120.0,0.25,-0.9077457022833558,6392.111126624185,-2.6414302350730168e-05,-3.584193630772681e-06,0.0,0.0,0.0,0.0,0.0,0.9996666666666667,1.0,0.0,0.0
120.0,0.5,-0.9078227209363691,6392.111352591494,-0.00010343295536396901,-7.119290453352635e-06,0.0,0.0,0.0,0.0,0.0,0.9996666666666667,1.0,0.0,0.0
120.0,0.75,-0.9079497609597378,6392.111464803816,-0.00023047297873268757,-8.874771906262305e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
120.0,1.0,-0.9081272437721096,6392.111537783617,-0.0004079557911045306,-1.0016488662416406e-05,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
75.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75.0,0.25,-0.9077481769905672,6392.115031027028,-2.8889009562105272e-05,-6.466578162624617e-05,0.0,0.0,0.0,0.0,0.0,0.96,1.0,0.0,0.0
75.0,0.5,-0.9078071311508135,6392.121674874819,-8.784316980836593e-05,-0.0001686040251592944,0.0,0.0,0.0,0.0,0.0,0.9563333333333334,1.0,0.0,0.0
75.0,0.75,-0.907927284695991,6392.136864790872,-0.0002079967149859474,-0.00040623939000725747,0.0,0.0,0.0,0.0,0.0,0.9463333333333334,1.0,0.0,0.0
75.0,1.0,-0.9081780696584864,6392.17459292737,-0.000458781677481257,-0.0009964690825609876,0.0,0.0,0.0,0.0,0.0,0.9365,1.0,0.0,0.0
130.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130.0,0.25,-0.9077508483578427,6392.111053442618,-3.156037683760271e-05,-2.439320390855159e-06,0.0,0.0,0.0,0.0,0.0,0.999,1.0,0.0,0.0
130.0,0.5,-0.9078436801168955,6392.111168992206,-0.00012439213589043874,-4.247010999243841e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
130.0,0.75,-0.9079980181091857,6392.111255962026,-0.00027873012818058207,-5.607591581635782e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
130.0,1.0,-0.9082140077934525,6392.111343239271,-0.0004947198124474195,-6.9729816171963665e-06,0.0,0.0,0.0,0.0,0.0,0.9998333333333335,1.0,0.0,0.0
160.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160.0,0.25,-0.9079492547463497,6392.15543780712,-0.00022996676534459137,-0.0006968009360328622,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0
160.0,0.5,-0.9081440540981167,6392.189841113656,-0.00042476611711161905,-0.0012350160435025364,0.0,0.0,0.0,0.0,0.0,0.6190000000000001,1.0,0.0,0.0
160.0,0.75,-0.9082723989645478,6392.207701754396,-0.000553110983542715,-0.0015144329845757632,0.0,0.0,0.0,0.0,0.0,0.8483333333333333,1.0,0.0,0.0
160.0,1.0,-0.9083449100546188,6392.210811267527,-0.0006256220736137186,-0.0015630790919512422,0.0,0.0,0.0,0.0,0.0,0.9641666666666667,1.0,0.0,0.0
20.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
