time_min,F1,X1,T1,T200,baseline_X2,baseline_P2,sac_X2,sac_P2,baseline_P100,baseline_F200,sac_P100,sac_F200,baseline_economic_cost,sac_economic_cost,baseline_cumulative_economic_cost,sac_cumulative_economic_cost,baseline_w_est_1,baseline_w_est_2,sac_w_est_1,sac_w_est_2,sac_residual_P100_normalized,sac_residual_F200_normalized
4.966666666666667,10.07421875,5.0,40.0,25.0,28.975081652299455,53.57789673727561,28.87510691337875,53.55679753011555,223.88335005171612,215.26715424955566,223.4294764294553,215.14120306557137,6458.769836711179,6454.54572041279,1921096.515508875,1917417.129219209,-9.08044423843634e-05,1.0419625380562968e-06,-9.065103654105542e-05,1.0413817774978222e-06,-0.026341665027811333,-0.0012188610623578972
4.983333333333333,10.07421875,5.0,40.0,25.0,28.974948135946352,53.57811739981848,28.874977212475585,53.557003884898634,223.8889002088121,215.2693608856635,223.43495122825178,215.14340312695046,6458.890787736339,6454.6659301038635,1927555.4062966113,1923871.795149313,-9.080442391052882e-05,1.0420309469793613e-06,-9.06523467910969e-05,1.0414479798005865e-06,-0.02634182056993678,-0.001218862025120413
5.0,10.07421875,5.0,40.0,25.0,28.974819174520768,53.578338682588374,28.87485202268338,53.55721086030268,223.89418715378994,215.27156368833474,223.44016453673152,215.14559938546873,6459.0051851607,6454.779629359429,1934014.411481772,1930326.5747786725,-9.080436182401718e-05,1.0420950571416414e-06,-9.06535393938629e-05,1.0415099030558984e-06,-0.026341966607154817,-0.0012188628888443853
5.016666666666667,10.07421875,5.0,40.0,25.0,28.97469451974208,53.57856054378575,28.87473109785592,53.55741841474542,223.8992253064808,215.27376279645074,223.44513032341303,215.1477919686345,6459.113388593887,6454.887166897559,1940473.5248703659,1936781.46194557,-9.080426756675583e-05,1.0421552125923078e-06,-9.065462980452181e-05,1.0415678898594278e-06,-0.026342106940767735,-0.0012188637525127242
5.033333333333333,10.07421875,5.0,40.0,25.0,28.97457393695688,53.57878294390976,28.874614205367347,53.557626508932415,223.9040282952062,215.27595834130884,223.44986215805287,215.14998102616852,6459.215737906128,6454.988881086813,1946932.740608272,1943236.4508266568,-9.08041501058134e-05,1.0422117171811664e-06,-9.065563079449293e-05,1.0416222427479095e-06,-0.026342241570357566,-0.0012188644180947852
5.05,10.07421875,5.0,40.0,25.0,28.974457204390685,53.579005845632075,28.874501125370816,53.55783510573255,223.90860900024165,215.27815044703914,223.45437286677452,215.15216667102203,6459.312554312165,6455.085091733394,1953392.053162584,1949691.5359183901,-9.080401644240288e-05,1.0422648410975397e-06,-9.065655296955638e-05,1.0416732309049865e-06,-0.026342370495517183,-0.0012188649845783247
5.066666666666666,10.07421875,5.0,40.0,25.0,28.974344112440786,53.57922921367765,28.8743916500978,53.55804417005975,223.91297959489216,215.28033923099858,223.4586745727997,215.15434899956543,6459.404141395653,6455.176101108791,1959851.4573039797,1956146.712019499,-9.08038720178088e-05,1.0423148261813866e-06,-9.06574051848767e-05,1.0417210952417162e-06,-0.026342493715847883,-0.001218865649958487
5.083333333333333,10.07421875,5.0,40.0,25.0,28.974234463007942,53.579453014712,28.874285583195782,53.55825366875915,223.91715158431015,215.28252480414307,223.46277873494785,215.1565281612588,6459.490786077217,6455.262194951642,1966310.948090057,1962601.9742144505,-9.080372103705643e-05,1.0423618901470985e-06,-9.06581948777474e-05,1.0417660525585314e-06,-0.02634261123095844,-0.001218866018192274
5.1,10.07421875,5.0,40.0,25.0,28.97412806886479,53.5796772172347,28.874182739102267,53.55846357050353,223.9211358421807,215.2847072713794,223.46669618402785,215.15870422038816,6459.572759529358,6455.343643291936,1972770.5208495862,1969057.3178577423,-9.080356672702705e-05,1.042406230048655e-06,-9.065892833451507e-05,1.0418082992727976e-06,-0.026342723040469296,-0.0012188664852889036
5.116666666666666,10.07421875,5.0,40.0,25.0,28.97402475305895,53.57990179147872,28.874082942277813,53.558673845661026,223.92494264539175,215.28688673189748,223.47043696714098,215.16087729500234,6459.6503180410755,6455.420696870077,1979230.1711676272,1975512.7385546125,-9.080341154201038e-05,1.0424480251928675e-06,-9.065961089735197e-05,1.0418480135312863e-06,-0.02634283104493823,-0.0012188668532188262
5.133333333333333,10.07421875,5.0,40.0,25.0,28.97392434834892,53.58012670931526,28.873986026651007,53.55888446620154,223.92858170679958,215.28906327948454,223.4740105740855,215.16304748791063,6459.723703834995,6455.4935925295995,1985689.8948714621,1981968.232147142,-9.080325732736706e-05,1.0424874394806868e-06,-9.06602471376561e-05,1.0418853580504266e-06,-0.02634293714498609,-0.0012188670229608546
5.15,10.07421875,5.0,40.0,25.0,28.973826696670972,53.580351944163866,28.87389183579504,53.55909540573055,223.9320622061941,215.29123700282196,223.4774267283718,215.16521485727316,6459.793145839622,6455.562572051428,1992149.6880173017,1988423.7947191936,-9.080310544967717e-05,1.0425246233386218e-06,-9.066084102495046e-05,1.0419204833234135e-06,-0.026343035637547217,-0.0012188672915241438
5.166666666666667,10.07421875,5.0,40.0,25.0,28.973731648635304,53.580577470907436,28.873800221538865,53.55930663924946,223.93539281956342,215.29340798576567,223.48069369014854,215.1673794961065,6459.85886041916,6455.627841819392,1998609.5468777209,1994879.422561013,-9.080295690030098e-05,1.0425597154168885e-06,-9.066139599597723e-05,1.0419535273150366e-06,-0.02634313032409741,-0.0012188675598846096
5.183333333333334,10.07421875,5.0,40.0,25.0,28.973639063049877,53.5808032658119,28.87371104385403,53.5595181431375,223.93858174675117,215.29557630761136,223.4838196335816,215.1695415028123,6459.921052063266,6455.689605656085,2005069.4679297842,2001335.112166669,-9.080281237762894e-05,1.0425928438953341e-06,-9.066191506262674e-05,1.0419846175493362e-06,-0.026343221204344378,-0.001218867630014646
5.2,10.07421875,5.0,40.0,25.0,28.973548806470408,53.581029306450326,28.873624170232926,53.55972989504698,223.94163673759488,215.29774204334487,223.48681209474702,215.17170093193198,6459.979914038885,6455.748051666358,2011529.447843823,2007790.8602183354,-9.080267235218516e-05,1.0426241276179924e-06,-9.066240087656134e-05,1.0420138719635188e-06,-0.02634331017894858,-0.001218867699916084
5.216666666666667,10.07421875,5.0,40.0,25.0,28.973460752775072,53.58125557163116,28.87353947562154,53.559941873892704,223.9445651166285,215.2999052638789,223.48967857024616,215.1738578537786,6460.035629006336,6455.803366552534,2017989.4834728295,2014246.663584888,-9.080253711835563e-05,1.0426536770945104e-06,-9.06628558035428e-05,1.0420414007564989e-06,-0.026343395346734272,-0.0012188677695787126
5.233333333333333,10.07421875,5.0,40.0,25.0,28.97337478276255,53.58148204133046,28.873456841840973,53.560154059753096,223.9473738064285,215.30206603627684,223.49242596242644,215.17601234476854,6460.088369601525,6455.855722415319,2024449.571842431,2020702.5193073032,-9.080240683530862e-05,1.042681595405591e-06,-9.066328196143958e-05,1.042067306509487e-06,-0.026343476707427625,-0.0012188677399827762
5.25,10.07421875,5.0,40.0,25.0,28.97329078377217,53.58170869662778,28.873376157035135,53.56036643377659,223.95006934967827,215.30422442396403,223.49506060519303,215.17816445792096,6460.1382989861995,6455.905277386527,2030909.7101414173,2027158.4245846898,-9.08022815591976e-05,1.042707978704846e-06,-9.066368125101915e-05,1.042091684781573e-06,-0.02634355616171408,-0.0012188677101241767
5.266666666666667,10.07421875,5.0,40.0,25.0,28.97320864932489,53.58193551964562,28.87329731566915,53.56057897818218,223.95265793002042,215.3063804869276,223.49758885881198,215.18031426265202,6460.185571367995,6455.952189837309,2037369.8957127854,2033614.3767745271,-9.080216126854758e-05,1.0427329169466467e-06,-9.066405540332402e-05,1.0421146253751983e-06,-0.026343631808427744,-0.0012188675809854433
5.283333333333333,10.07421875,5.0,40.0,25.0,28.973128278783985,53.58216249349219,28.87322021801289,53.56079167617186,223.95514539176403,215.30853428190522,223.5000165515241,215.1824618053697,6460.230332491913,6455.996605071228,2043830.1260452773,2040070.3733795984,-9.080204588437619e-05,1.0427564943795626e-06,-9.066440599600202e-05,1.0421362123864677e-06,-0.02634370364731265,-0.0012188674515632549
5.3,10.07421875,5.0,40.0,25.0,28.973049577034402,53.58238960220733,28.87314476947208,53.56100451181576,223.9575372585106,215.31068586256362,223.50234881185258,215.18460713934599,6460.272720104819,6456.038651385611,2050290.3987653821,2046526.412030984,-9.08019352857707e-05,1.042778790110944e-06,-9.066473445925086e-05,1.042156523999198e-06,-0.026343775480038134,-0.0012188673218467188
